CUI1|CUI2
C0004030|C4521099
C0004096|C0001927
C0004096|C0002575
C0004096|C0010137
C0004096|C0012694
C0004096|C0013360
C0004096|C0014479
C0004096|C0015840
C0004096|C0022176
C0004096|C0022177
C0004096|C0025573
C0004096|C0025815
C0004096|C0029193
C0004096|C0032950
C0004096|C0032952
C0004096|C0033798
C0004096|C0039542
C0004096|C0039543
C0004096|C0039771
C0004096|C0041090
C0004096|C0041165
C0004096|C0052944
C0004096|C0053817
C0004096|C0055578
C0004096|C0055936
C0004096|C0056391
C0004096|C0059871
C0004096|C0060501
C0004096|C0060657
C0004096|C0063750
C0004096|C0066430
C0004096|C0071129
C0004096|C0071839
C0004096|C0071842
C0004096|C0071844
C0004096|C0073992
C0004096|C0081408
C0004096|C0086073
C0004096|C0106575
C0004096|C0138273
C0004096|C0138274
C0004096|C0174938
C0004096|C0242524
C0004096|C0245531
C0004096|C0298130
C0004096|C0304297
C0004096|C0304425
C0004096|C0304426
C0004096|C0304430
C0004096|C0304431
C0004096|C0304441
C0004096|C0350279
C0004096|C0378466
C0004096|C0380447
C0004096|C0543495
C0004096|C0600347
C0004096|C0600901
C0004096|C0602107
C0004096|C0700453
C0004096|C0700546
C0004096|C0724580
C0004096|C0724666
C0004096|C0724676
C0004096|C0770491
C0004096|C0771061
C0004096|C0771469
C0004096|C0889299
C0004096|C0937621
C0004096|C0951315
C0004096|C0966225
C0004096|C0969324
C0004096|C1271551
C0004096|C1337137
C0004096|C1579393
C0004096|C1646276
C0004096|C1869620
C0004096|C1950816
C0004096|C2982078
C0004096|C3472162
C0004114|C0008838
C0004153|C3491162
C0004153|C3529352
C0004153|C3659310
C0004238|C0004147
C0004238|C0011689
C0004238|C0012258
C0004238|C0012265
C0004238|C0012373
C0004238|C0012702
C0004238|C0016229
C0004238|C0025859
C0004238|C0026289
C0004238|C0033216
C0004238|C0033429
C0004238|C0034414
C0004238|C0034415
C0004238|C0037707
C0004238|C0042523
C0004238|C0043031
C0004238|C0051919
C0004238|C0053941
C0004238|C0072869
C0004238|C0082966
C0004238|C0084273
C0004238|C0086303
C0004238|C0114771
C0004238|C0123053
C0004238|C0139697
C0004238|C0282138
C0004238|C0282378
C0004238|C0304520
C0004238|C0350132
C0004238|C0376218
C0004238|C0600311
C0004238|C0700465
C0004238|C0700468
C0004238|C0700534
C0004238|C0700548
C0004238|C0700579
C0004238|C0724633
C0004238|C0766326
C0004238|C0772229
C0004238|C0982121
C0004238|C1880412
C0004239|C0004147
C0004239|C0011689
C0004239|C0012258
C0004239|C0012265
C0004239|C0012373
C0004239|C0012702
C0004239|C0025859
C0004239|C0026289
C0004239|C0033216
C0004239|C0034414
C0004239|C0034415
C0004239|C0037707
C0004239|C0042523
C0004239|C0072869
C0004239|C0082966
C0004239|C0084273
C0004239|C0114771
C0004239|C0123053
C0004239|C0139697
C0004239|C0282138
C0004239|C0304520
C0004239|C0350132
C0004239|C0600311
C0004239|C0700468
C0004239|C0700534
C0004239|C0700548
C0004239|C0700579
C0004239|C0724633
C0004239|C0982121
C0004352|C0015827
C0004352|C0073393
C0004352|C0078569
C0004352|C0123091
C0004352|C0282179
C0004352|C0724680
C0004352|C0771200
C0004576|C0034417
C0004576|C0034420
C0004576|C0034421
C0004576|C0034422
C0004576|C0771588
C0004576|C1273036
C0004576|C3486650
C0004589|C0030840
C0004589|C0053155
C0004589|C0700553
C0004589|C0771798
C0004604|C0009148
C0004604|C0017718
C0004604|C0017720
C0004604|C0027396
C0004604|C0066282
C0004604|C0077089
C0004604|C0077091
C0004604|C0077092
C0004604|C0304554
C0004604|C0546873
C0004604|C0771903
C0004604|C0873192
C0004604|C0888973
C0004604|C0888974
C0004604|C0888983
C0004604|C0888984
C0004604|C0995182
C0004604|C4237614
C0004604|C4237724
C0004604|C4291321
C0004604|C4520025
C0004604|C4542480
C0004610|C0001714
C0004610|C0032535
C0004610|C0057144
C0004610|C1260298
C0004615|C0040958
C0004615|C0054409
C0004615|C0301329
C0004615|C0301331
C0004623|C0001714
C0004623|C0002435
C0004623|C0002499
C0004623|C0002501
C0004623|C0002645
C0004623|C0002680
C0004623|C0004499
C0004623|C0004521
C0004623|C0006976
C0004623|C0007537
C0004623|C0007538
C0004623|C0007545
C0004623|C0007546
